ser_id,age,gender,income_level,location,preferences,interests,purchase_history,budget_range,tech_savviness
7715e7e8-7d31-4761-9449-ac9e8c04b0c7,45,Male,Low,Jaipur,"large screen,high resolution",entertainment,"Smartphone,Smartphone",10000-20000,Advanced
bf2f7e08-3287-430e-81f8-9ed93181a9c8,38,Female,Medium,Surat,fast processor,gaming,"Smartphone,Laptop",20000-40000,Intermediate
6ff8c0c2-438b-451e-84a5-c0e4a23f82cb,54,Male,High,Lucknow,"good speakers,high resolution",entertainment,Smartphone,100000-150000,Intermediate
0d631ece-5d44-47e0-8dd1-34db29d4b408,61,Female,High,Delhi,"lightweight,professional design",business,Laptop,60000-100000,Beginner
9e844ad2-3691-40f4-94df-fdc7b4468308,32,Male,Medium,Thane,"compact,lightweight",travel,"Laptop,Smartphone",20000-40000,Intermediate
42b7295f-25a4-4ac5-88a1-c94ddb8c81d7,42,Female,Low,Kolkata,"compact,lightweight,long battery",travel,"Smartphone,Smartphone,Laptop",10000-20000,Beginner
601991d7-c771-48f4-b6bc-2352acf30267,58,Male,Medium,Kanpur,"camera quality,good storage",photography,"Smartphone,Smartphone",20000-40000,Beginner
c99e037d-2f33-42d9-ae94-cde019394630,46,Male,Medium,Delhi,"good speakers,high resolution",entertainment,"Smartphone,Smartphone,Smartphone",60000-100000,Beginner
c3dea150-6e9e-4fed-92e6-f43cd53e8cb6,21,Male,Medium,Pune,"long battery,lightweight,compact",travel,"Laptop,Laptop,Laptop",40000-60000,Advanced
45b99d30-6b07-4fc2-838d-d7febf219c85,50,Male,Low,Ahmedabad,lightweight,business,"Laptop,Laptop,Smartphone",10000-20000,Beginner
631b182c-81a5-4a31-9699-50fe98bedd81,60,Female,Low,Kolkata,"long battery,lightweight",travel,Smartphone,20000-40000,Beginner
84132e81-50fc-4cec-875f-f761e1b248bc,20,Female,High,Mumbai,"camera quality,good storage,high resolution",photography,"Laptop,Smartphone,Laptop",150000+,Intermediate
3ca42197-6242-413f-b8af-7be1afe562ce,25,Male,Low,Hyderabad,budget-friendly,education,Smartphone,10000-20000,Advanced
4a5f373a-f9c0-48a8-88e5-11930f3962b7,26,Male,Low,Delhi,dedicated graphics,gaming,"Smartphone,Smartphone,Smartphone",20000-40000,Advanced
15f4b0b5-9853-4089-8e44-1186a005e4bf,58,Female,High,Bhopal,"high performance,fast processor",gaming,Laptop,100000-150000,Beginner
f2758200-3c35-441d-8082-8d31946b80fa,22,Male,Low,Visakhapatnam,"long battery,professional design",business,Smartphone,10000-20000,Advanced
b7ffa8e9-2910-4c06-9d2c-0a4827bfbd92,31,Female,Low,Nagpur,"fast processor,dedicated graphics",gaming,"Smartphone,Smartphone",20000-40000,Beginner
322f4ded-00f1-456c-8613-4ed69384abf2,53,Male,High,Thane,"camera quality,good storage,high resolution",photography,"Smartphone,Laptop,Laptop",150000+,Beginner
28ddba7b-2edf-46d5-859e-a08d2a210f42,34,Male,Medium,Kanpur,"compact,lightweight,long battery",travel,Smartphone,20000-40000,Intermediate
38e7b163-dc12-4854-ad06-d39e1f491c80,46,Female,Low,Nagpur,large screen,entertainment,"Smartphone,Laptop",10000-20000,Beginner
62ad2fb2-28a0-4c99-9b23-eac691628932,23,Female,Medium,Hyderabad,"lightweight,professional design",business,"Smartphone,Smartphone",40000-60000,Advanced
d44464ba-438e-4ed4-8718-8d709250419d,54,Female,Medium,Surat,dedicated graphics,gaming,"Laptop,Smartphone,Smartphone",60000-100000,Beginner
62274be5-d443-422e-af18-cc9c5de8b63f,20,Female,Low,Mumbai,"compact,lightweight",travel,"Laptop,Smartphone,Laptop",10000-20000,Advanced
3e435206-f20f-41bf-8302-37463b928bea,65,Male,High,Pimpri-Chinchwad,"compact,lightweight,long battery",travel,"Smartphone,Smartphone",60000-100000,Beginner
9bca4116-d2bf-4e5f-9d96-e95ba07ef4f5,59,Female,Low,Mumbai,fast processor,gaming,"Smartphone,Smartphone,Laptop",20000-40000,Beginner
11b6edf2-113c-4225-8952-136762e42198,43,Female,Medium,Lucknow,"compact,long battery",travel,"Laptop,Laptop,Smartphone",20000-40000,Intermediate
9a0a6979-b05d-4a0f-aa24-bac35439f1bd,59,Male,Low,Chennai,high resolution,entertainment,Laptop,20000-40000,Intermediate
56218ead-5d6c-4251-bd2f-38035b33b126,30,Female,Medium,Pimpri-Chinchwad,"long battery,budget-friendly,stylus support",education,Laptop,20000-40000,Advanced
b65247b2-af33-4de3-9f36-0c1e61558f59,65,Female,Low,Indore,"camera quality,good storage,high resolution",photography,Laptop,10000-20000,Intermediate
85ec9ade-43a1-475e-b513-fd3f3a7a0afc,34,Female,High,Patna,"good speakers,large screen",entertainment,Smartphone,150000+,Beginner
56b862d9-ea2d-4bb5-9f7d-fecd4a9b5e66,19,Female,Low,Ahmedabad,"high performance,dedicated graphics",gaming,"Laptop,Smartphone,Smartphone",10000-20000,Intermediate
736dd7cb-7dd2-431d-b9ba-61452cc59e48,44,Female,Low,Surat,fast processor,gaming,Laptop,10000-20000,Beginner
2ae81aa5-c15e-467c-abc6-cbc2eb192f0e,48,Female,High,Kolkata,high resolution,entertainment,Smartphone,60000-100000,Beginner
8fc1a8e4-dec4-4b71-82bd-a0dcf5cd47dc,34,Female,Low,Hyderabad,long battery,education,Smartphone,20000-40000,Advanced
f761ba1a-b3c3-4c3d-beee-173b02c845e4,59,Male,Medium,Ahmedabad,camera quality,photography,"Laptop,Laptop",40000-60000,Intermediate
5feb51b7-eef9-4124-a31f-ef3dcc0f250d,52,Male,High,Vadodara,long battery,business,"Smartphone,Laptop,Laptop",60000-100000,Intermediate
00308ce2-0c78-4fab-9db5-b9827939120e,27,Male,Medium,Pimpri-Chinchwad,"high performance,dedicated graphics,fast processor",gaming,"Smartphone,Laptop",60000-100000,Advanced
34b1737a-df41-46fd-857e-d3a0c9cf1bba,25,Male,Low,Pimpri-Chinchwad,fast processor,gaming,Laptop,20000-40000,Intermediate
28247103-f1c4-4afe-9485-46366dcd208b,31,Female,Medium,Bangalore,camera quality,photography,Laptop,20000-40000,Beginner
3d240547-c96d-4214-9369-9503ab40c18d,52,Female,High,Hyderabad,"compact,lightweight,long battery",travel,Smartphone,150000+,Intermediate
d901bb97-ec75-4f64-9e42-81a9c196d5d9,53,Male,Low,Thane,long battery,travel,Laptop,20000-40000,Beginner
452fbb1f-373e-478b-ac80-a9ef118b92ff,54,Female,Medium,Bangalore,"long battery,lightweight,professional design",business,Laptop,60000-100000,Intermediate
0fbe968c-4248-4615-97d0-3cd07e7aac07,42,Male,High,Bangalore,"camera quality,good storage,high resolution",photography,Smartphone,100000-150000,Advanced
421dc6c7-bef5-4d20-86ef-d4a20c9dc081,20,Male,Medium,Kolkata,"long battery,budget-friendly,stylus support",education,Smartphone,40000-60000,Intermediate
f382f04e-c671-4455-848d-a08918aa2b11,25,Male,Low,Pune,"long battery,lightweight,compact",travel,"Laptop,Smartphone",20000-40000,Intermediate
33e0bbde-3fce-4660-a77d-e8ab1f527bdd,34,Male,High,Kanpur,"good speakers,large screen,high resolution",entertainment,Laptop,60000-100000,Intermediate
fd823fe3-51d6-47a5-a26f-dee5d12ae00c,25,Female,Low,Pimpri-Chinchwad,"high performance,dedicated graphics",gaming,"Smartphone,Laptop",20000-40000,Advanced
43aa989f-8ccd-42b4-911a-7cf0257a2e87,43,Male,Medium,Patna,"long battery,budget-friendly,stylus support",education,"Laptop,Smartphone,Smartphone",60000-100000,Advanced
d160f6e5-6241-4660-a5c2-927466730397,58,Female,Low,Jaipur,high resolution,entertainment,"Smartphone,Laptop",10000-20000,Beginner
643dbe50-e5ee-449f-b0e1-b0bb6f372515,31,Female,Low,Thane,"long battery,lightweight",business,"Smartphone,Smartphone",10000-20000,Intermediate
50845847-ee34-4be4-881d-d3081eca2175,60,Female,Medium,Thane,budget-friendly,education,"Smartphone,Smartphone,Laptop",20000-40000,Beginner
11e5c95c-b25c-44e3-9324-cfc293f41e1b,48,Male,Medium,Pimpri-Chinchwad,"high performance,dedicated graphics",gaming,Laptop,20000-40000,Beginner
1e72e867-d0b9-463c-a98f-37c0dfe79ef5,58,Male,Low,Kanpur,"high performance,dedicated graphics",gaming,Smartphone,20000-40000,Beginner
91c36890-cb5a-4849-979b-b51e8a9883f7,65,Female,Medium,Surat,"large screen,high resolution",entertainment,Smartphone,20000-40000,Intermediate
92e83bb3-6336-4c6d-8023-f443e818b39a,33,Male,High,Delhi,"budget-friendly,stylus support",education,Laptop,150000+,Advanced
9c438746-12dd-41b7-ae9d-5db8e65df802,59,Female,Low,Bangalore,camera quality,photography,"Laptop,Laptop,Smartphone",10000-20000,Beginner
1c27401c-8285-48c3-9bb0-fae67178b099,27,Male,High,Thane,"camera quality,good storage",photography,Smartphone,150000+,Intermediate
ebab471b-30c3-445e-b0a5-83d0986b5c8e,59,Male,Low,Mumbai,"long battery,budget-friendly,stylus support",education,"Laptop,Laptop",10000-20000,Beginner
77e0b608-1677-4806-96b9-b926069ff8e2,54,Female,Medium,Jaipur,"camera quality,good storage",photography,"Smartphone,Smartphone,Laptop",20000-40000,Beginner
1d5d6929-d4ea-4e57-a472-f86d7a0f3f1a,55,Female,Low,Vadodara,long battery,business,Laptop,20000-40000,Beginner
a372d1dd-e180-4842-80cd-ddda317a74e9,22,Female,Low,Kanpur,"high performance,fast processor,dedicated graphics",gaming,"Smartphone,Smartphone",10000-20000,Advanced
9f8731ac-086a-47c2-829a-3d7eccfe8854,21,Female,Low,Bhopal,high resolution,entertainment,Laptop,10000-20000,Advanced
