product_id,name,category,brand,price,description,specifications,features,rating,stock_count
1,Oppo F23 Pro,Smartphone,Oppo,148681,Innovative smartphone designed for creativity with exceptional performance and modern features.,"Display: 11.6-inch Retina, Storage: 64GB, RAM: 12GB, Battery: 3859mAh","5G, High refresh rate, Fingerprint, Face unlock, AMOLED display, Multiple cameras",4.6,81
2,Moto G84,Smartphone,Moto,38982,High-performance smartphone designed for entertainment with exceptional performance and modern features.,"Display: 9.0-inch OLED, Storage: 64GB, RAM: 8GB, Battery: 4645mAh","Face unlock, Water resistant, 5G, High refresh rate, AMOLED display",4.5,95
3,Lenovo Yoga 9i Gen 8,Laptop,Lenovo,288743,Advanced laptop designed for gaming with exceptional performance and modern features.,"Display: 15.6-inch QHD, Storage: 1TB SSD, RAM: 8GB, Processor: M1","Long battery life, Backlit keyboard, USB-C, Touch screen",3.7,93
4,Samsung Galaxy A54,Smartphone,Samsung,243833,Versatile smartphone designed for professional work with exceptional performance and modern features.,"Display: 7.4-inch LCD, Storage: 256GB, RAM: 16GB, Battery: 3757mAh","Wireless charging, Fast charging, Water resistant, AI photography, Multiple cameras",3.6,13
5,Asus ROG Zephyrus G14,Laptop,Asus,53766,Advanced laptop designed for business with exceptional performance and modern features.,"Display: 13.6-inch 4K, Storage: 1TB SSD, RAM: 16GB, Processor: M1","Thunderbolt, Fingerprint reader, USB-C",4.9,78
6,Dell XPS 15 (2023),Laptop,Dell,18992,Advanced laptop designed for gaming with exceptional performance and modern features.,"Display: 15.6-inch QHD, Storage: 1TB SSD, RAM: 8GB, Processor: M1","Long battery life, Backlit keyboard, USB-C, Touch screen",4.2,20
7,Dell XPS 15 (2023),Laptop,Dell,69761,Premium laptop designed for gaming with exceptional performance and modern features.,"Display: 16.3-inch 2K, Storage: 512GB SSD, RAM: 8GB, Processor: Intel i5","USB-C, Fingerprint reader, Dedicated graphics, Wi-Fi 6, Lightweight",4.4,54
8,Samsung Galaxy Z Flip 5,Smartphone,Samsung,117428,Powerful smartphone designed for daily use with exceptional performance and modern features.,"Display: 12.1-inch Retina, Storage: 1TB, RAM: 6GB, Battery: 5875mAh","Multiple cameras, AMOLED display, Fingerprint, Wireless charging, 5G, Fast charging",4.2,34
9,Asus ProArt Studiobook 16 OLED,Laptop,Asus,299908,Versatile laptop designed for gaming with exceptional performance and modern features.,"Display: 14.7-inch 4K, Storage: 1TB SSD, RAM: 64GB, Processor: Intel i7","Wi-Fi 6, SSD storage, Fingerprint reader, Thunderbolt",4.8,99
10,Samsung Galaxy Book3 Pro 360,Laptop,Samsung,27812,Cutting-edge laptop designed for productivity with exceptional performance and modern features.,"Display: 15.2-inch QHD, Storage: 256GB SSD, RAM: 8GB, Processor: Intel i5","Wi-Fi 6, USB-C, Dedicated graphics, Lightweight, Touch screen",4.5,66
11,Acer Swift Edge 16,Laptop,Acer,79187,Professional laptop designed for creativity with exceptional performance and modern features.,"Display: 15.7-inch 2K, Storage: 1TB SSD, RAM: 64GB, Processor: M2","Fingerprint reader, USB-C, Backlit keyboard",4.4,18
12,Dell Inspiron 15,Laptop,Dell,95646,Reliable laptop designed for business with exceptional performance and modern features.,"Display: 14.9-inch FHD, Storage: 256GB SSD, RAM: 8GB, Processor: M3","Touch screen, SSD storage, Backlit keyboard, Lightweight",4.4,70
13,Apple iPhone SE (2022),Smartphone,Apple,207844,Reliable smartphone designed for content creation with exceptional performance and modern features.,"Display: 8.2-inch OLED, Storage: 128GB, RAM: 8GB, Battery: 5725mAh","Water resistant, Multiple cameras, Wireless charging",4.7,20
14,Lenovo ThinkPad X1 Carbon Gen 11,Laptop,Lenovo,39069,Sleek laptop designed for business with exceptional performance and modern features.,"Display: 15.4-inch 4K, Storage: 256GB SSD, RAM: 32GB, Processor: M3","Thunderbolt, Touch screen, Backlit keyboard, Wi-Fi 6, Long battery life, Lightweight",4.5,53
15,Samsung Galaxy S23 FE,Smartphone,Samsung,161948,Versatile smartphone designed for business with exceptional performance and modern features.,"Display: 7.1-inch Retina, Storage: 64GB, RAM: 6GB, Battery: 4621mAh","AI photography, Face unlock, High refresh rate, 5G",4.7,93
16,Dell Alienware m18,Laptop,Dell,219156,Reliable laptop designed for professional work with exceptional performance and modern features.,"Display: 15.7-inch 4K, Storage: 512GB SSD, RAM: 32GB, Processor: M1","Wi-Fi 6, USB-C, Long battery life, SSD storage, Backlit keyboard, Lightweight",3.6,31
17,Realme GT 2 Pro,Smartphone,Realme,166727,Reliable smartphone designed for entertainment with exceptional performance and modern features.,"Display: 12.2-inch AMOLED, Storage: 1TB, RAM: 6GB, Battery: 3212mAh","AMOLED display, 5G, Face unlock, AI photography, Multiple cameras",3.7,19
18,Lenovo Yoga 9i Gen 8,Laptop,Lenovo,247859,Cutting-edge laptop designed for daily use with exceptional performance and modern features.,"Display: 15.0-inch FHD, Storage: 1TB SSD, RAM: 32GB, Processor: Intel i5","Dedicated graphics, Touch screen, USB-C, Wi-Fi 6, SSD storage",5.0,81
19,Dell Inspiron 15,Laptop,Dell,85852,Powerful laptop designed for daily use with exceptional performance and modern features.,"Display: 16.2-inch 2K, Storage: 512GB SSD, RAM: 64GB, Processor: AMD Ryzen 9","USB-C, SSD storage, Fingerprint reader, Wi-Fi 6",4.8,67
20,Razer Blade 15,Laptop,Razer,105097,Cutting-edge laptop designed for professional work with exceptional performance and modern features.,"Display: 16.2-inch 4K, Storage: 1TB SSD, RAM: 16GB, Processor: Intel i7","SSD storage, Backlit keyboard, Touch screen, Fingerprint reader, Wi-Fi 6, Thunderbolt",4.3,85
21,Oppo F23 Pro,Smartphone,Oppo,243442,Advanced smartphone designed for creativity with exceptional performance and modern features.,"Display: 10.1-inch LCD, Storage: 128GB, RAM: 8GB, Battery: 5663mAh","AMOLED display, Fingerprint, Wireless charging, 5G",4.9,91
22,Vivo X100 Pro,Smartphone,Vivo,153311,Sleek smartphone designed for professional work with exceptional performance and modern features.,"Display: 11.8-inch OLED, Storage: 512GB, RAM: 16GB, Battery: 5294mAh","5G, Face unlock, Fingerprint, Wireless charging, AI photography",4.0,7
23,Acer Predator Helios 16,Laptop,Acer,22327,Sleek laptop designed for gaming with exceptional performance and modern features.,"Display: 13.3-inch 2K, Storage: 256GB SSD, RAM: 8GB, Processor: AMD Ryzen 5","Long battery life, USB-C, Fingerprint reader, Lightweight",4.3,66
24,Lenovo Yoga 9i Gen 8,Laptop,Lenovo,99927,Sleek laptop designed for productivity with exceptional performance and modern features.,"Display: 14.3-inch 4K, Storage: 512GB SSD, RAM: 16GB, Processor: Intel i7","USB-C, Dedicated graphics, SSD storage, Lightweight, Thunderbolt, Touch screen",3.7,43
25,Xiaomi Redmi Note 13 Pro+,Smartphone,Xiaomi,178163,High-performance smartphone designed for creativity with exceptional performance and modern features.,"Display: 11.1-inch OLED, Storage: 1TB, RAM: 6GB, Battery: 5491mAh","Water resistant, 5G, Face unlock, AI photography, Fingerprint, High refresh rate",4.3,8
26,Microsoft Surface Pro 9,Laptop,Microsoft,275683,Reliable laptop designed for entertainment with exceptional performance and modern features.,"Display: 14.9-inch 4K, Storage: 256GB SSD, RAM: 8GB, Processor: M2","SSD storage, Touch screen, Fingerprint reader, Thunderbolt, USB-C, Wi-Fi 6",4.4,86
27,Razer Blade 16,Laptop,Razer,223083,Powerful laptop designed for creativity with exceptional performance and modern features.,"Display: 15.3-inch FHD, Storage: 1TB SSD, RAM: 8GB, Processor: M1","Lightweight, Backlit keyboard, Touch screen, Thunderbolt, Dedicated graphics",4.9,6
28,LG Gram SuperSlim,Laptop,LG,164598,Premium laptop designed for entertainment with exceptional performance and modern features.,"Display: 14.3-inch 2K, Storage: 1TB SSD, RAM: 16GB, Processor: M2","Wi-Fi 6, Fingerprint reader, Long battery life, Thunderbolt, Lightweight, Touch screen",5.0,28
29,MSI Titan GT77 HX,Laptop,MSI,51292,Cutting-edge laptop designed for professional work with exceptional performance and modern features.,"Display: 16.1-inch 4K, Storage: 1TB SSD, RAM: 64GB, Processor: AMD Ryzen 7","Long battery life, Lightweight, Touch screen, USB-C, Backlit keyboard",4.7,90
30,LG Gram Style,Laptop,LG,250955,Sleek laptop designed for professional work with exceptional performance and modern features.,"Display: 15.8-inch 4K, Storage: 512GB SSD, RAM: 32GB, Processor: AMD Ryzen 7","Thunderbolt, Fingerprint reader, Dedicated graphics, Long battery life, Backlit keyboard",4.0,17
31,Apple iPhone SE (2022),Smartphone,Apple,158974,Sleek smartphone designed for creativity with exceptional performance and modern features.,"Display: 10.9-inch LCD, Storage: 512GB, RAM: 4GB, Battery: 4032mAh","Wireless charging, Fast charging, Multiple cameras",4.9,8
32,Motorola Razr+ (2023),Smartphone,Motorola,163811,Innovative smartphone designed for gaming with exceptional performance and modern features.,"Display: 8.2-inch OLED, Storage: 64GB, RAM: 16GB, Battery: 5123mAh","5G, AI photography, Multiple cameras, Wireless charging, High refresh rate",4.3,6
